time,open,high,low,close,tick_volume,spread,real_volume
2023-02-07,22901.0,23340.0,22630.0,23204.0,56796,1400,0
2023-02-08,23186.0,23438.0,22663.0,22949.0,51091,1100,0
2023-02-09,22948.0,23001.0,21681.0,21831.0,70788,400,0
2023-02-10,21848.0,21949.0,21465.0,21562.0,57242,1400,0
2023-02-13,21731.0,21889.0,21362.0,21617.0,59113,1100,0
2023-02-14,21618.0,22322.0,21538.0,22243.0,56636,1300,0
2023-02-15,22242.0,24288.0,22041.0,24160.0,63344,1400,0
2023-02-16,24165.0,25244.0,24096.0,24512.0,89391,400,0
2023-02-17,24528.0,25009.0,23336.0,24620.0,104807,500,0
2023-02-20,24532.0,25102.0,23824.0,24760.0,88246,1200,0
2023-02-21,24761.0,25242.0,24140.0,24176.0,87305,400,0
2023-02-22,24188.0,24460.0,23568.0,23793.0,102804,400,0
2023-02-23,23791.0,24590.0,23607.0,23872.0,95482,1500,0
2023-02-24,23866.0,24123.0,22826.0,23081.0,82726,600,0
2023-02-27,23554.0,23880.0,23107.0,23373.0,74637,1400,0
2023-02-28,23372.0,23590.0,23017.0,23144.0,63464,1400,0
2023-03-01,23138.0,23993.0,23018.0,23534.0,76728,1600,0
2023-03-02,23548.0,23788.0,23177.0,23410.0,58961,1600,0
2023-03-03,23400.0,23550.0,21974.0,22244.0,59885,1300,0
2023-03-06,22474.0,22588.0,22258.0,22397.0,39847,1400,0
2023-03-07,22400.0,22544.0,21921.0,22037.0,51864,1600,0
2023-03-08,22038.0,22271.0,21827.0,21995.0,53798,1300,0
2023-03-09,21993.0,22000.0,20029.0,20234.0,67878,1500,0
2023-03-10,20205.0,20483.0,19551.0,20008.0,106130,400,0
2023-03-13,21464.0,24585.0,21299.0,24222.0,167276,1600,0
2023-03-14,24221.0,26509.0,23999.0,24692.0,142684,600,0
2023-03-15,24633.0,25279.0,23918.0,24389.0,162892,1800,0
2023-03-16,24390.0,25212.0,24199.0,24724.0,127599,700,0
2023-03-17,24747.0,27018.0,24703.0,26780.0,145420,700,0
2023-03-20,27966.0,28554.0,27213.0,28077.0,148938,500,0
2023-03-21,28066.0,28511.0,27396.0,28157.0,119471,1300,0
2023-03-22,28134.0,28939.0,26649.0,27364.0,69431,1100,0
2023-03-23,27383.0,28815.0,27029.0,28313.0,51614,600,0
2023-03-24,28326.0,28486.0,27435.0,27646.0,62421,1500,0
2023-03-27,27794.0,28150.0,26516.0,27032.0,57520,1500,0
2023-03-28,27043.0,27512.0,26621.0,27318.0,41409,1500,0
2023-03-29,27303.0,28639.0,27093.0,28381.0,38526,1100,0
2023-03-30,28380.0,29178.0,27686.0,28135.0,45608,1500,0
2023-03-31,28142.0,28651.0,27506.0,28430.0,39995,1300,0
2023-04-03,28070.0,28497.0,27469.0,27590.0,40543,1100,0
2023-04-04,27576.0,28442.0,27217.0,28260.0,39137,400,0
2023-04-05,28244.0,28773.0,27805.0,28141.0,37399,1700,0
2023-04-06,28144.0,28233.0,27698.0,27993.0,26006,2100,0
2023-04-07,27985.0,28103.0,27772.0,27865.0,16089,1700,0
2023-04-10,28126.0,29310.0,28126.0,29124.0,29609,500,0
2023-04-11,29132.0,30569.0,29105.0,30180.0,37907,1700,0
2023-04-12,30184.0,30498.0,29661.0,29953.0,32113,642,0
