time,open,close,high,low,tick_volume,target_close
2022-03-23,42594.82,42344.79,42898.58,41728.08,73103,43897.88
2022-03-24,42301.3,43897.88,44239.53,42232.63,76300,44567.36
2022-03-25,43859.38,44567.36,45130.66,43571.54,83211,47946.63
2022-03-28,45986.61,47946.63,48227.21,45837.21,82860,47446.18
2022-03-29,48034.18,47446.18,48149.24,46887.59,76431,47265.21
2022-03-30,47505.68,47265.21,47716.05,46505.42,71420,45750.77
2022-03-31,47192.49,45750.77,47619.64,45488.57,87132,46133.43
2022-04-01,45706.27,46133.43,46729.15,44206.36,94749,46300.13
2022-04-04,46369.96,46300.13,47442.23,45107.25,102499,45694.67
2022-04-05,46418.63,45694.67,47194.55,45461.46,80207,43875.16
2022-04-06,45835.96,43875.16,46052.79,43165.58,115851,43555.85
2022-04-07,43800.23,43555.85,44017.76,42706.42,104472,42801.76
2022-04-08,43496.89,42801.76,43984.38,42382.63,111971,39833.11
2022-04-11,43102.25,39833.11,43193.54,39439.48,141612,39509.81
2022-04-12,39856.61,39509.81,40700.69,39183.06,117016,41233.23
2022-04-13,39535.31,41233.23,41559.72,39476.49,99692,39872.57
2022-04-14,41225.73,39872.57,41501.51,39527.78,124239,40380.98
2022-04-15,39839.34,40380.98,40829.47,39760.72,55766,40652.31
2022-04-18,40218.72,40652.31,41016.21,38523.22,90547,41279.17
2022-04-19,40755.31,41279.17,41762.9,40569.49,76750,41432.51
2022-04-20,41266.17,41432.51,42202.95,40850.73,75085,40623.14
2022-04-21,41378.04,40623.14,42989.71,40517.32,98269,39575.56
2022-04-22,40632.14,39575.56,40837.4,39142.44,102311,40126.94
2022-04-25,39482.12,40126.94,40384.36,38165.42,119781,38083.44
2022-04-26,40104.44,38083.44,40800.41,37668.35,115700,39086.79
2022-04-27,38020.73,39086.79,39462.52,37672.36,100106,39897.5
2022-04-28,39118.79,39897.5,40386.0,38865.55,109833,38566.76
2022-04-29,39885.13,38566.76,39985.51,38151.73,115192,38313.91
2022-05-02,38381.15,38313.91,39161.21,38034.07,147663,37607.71
2022-05-03,38282.98,37607.71,38907.42,37493.31,104731,39782.92
2022-05-04,37713.45,39782.92,40024.0,37607.54,124395,36379.74
2022-05-05,39787.64,36379.74,39877.98,35576.0,116172,36079.1
2022-05-06,36396.91,36079.1,36649.79,35223.31,160114,31039.49
